batch_no,hate_rate,hate_rate_drift,jsd,jsd_drift,new_term_rate,concept_mean_abs_delta,concept_frac_delta_gt_0_2,concept_shared_terms,trigger
batch_1,0.415,False,,False,1.0,,,0,False
batch_2,0.435,False,0.425295828135241,False,0.76,0.060158730158730175,0.0,35,False
batch_3,0.455,False,0.31695117642579107,False,0.5573770491803278,0.06288483342054771,0.03571428571428571,56,True
batch_4,0.39,False,0.06872760914279573,False,0.45794392523364486,0.08028592630566316,0.016666666666666666,60,True
batch_5,0.42,False,0.29675087659186705,False,0.4090909090909091,0.10594983966226663,0.13114754098360656,61,True
batch_6,0.385,False,0.0764829985258291,False,0.3875,0.1245760689424924,0.1346153846153846,52,True
batch_7,0.515,False,0.08704146751098668,False,0.42857142857142855,0.08383416564554916,0.1044776119402985,67,True
batch_8,0.41,False,0.07401215482644666,False,0.2708333333333333,0.10668928147161572,0.17391304347826086,69,True
batch_9,0.41,False,0.2552901363505222,False,0.26881720430107525,0.1227413686897916,0.19047619047619047,63,True
batch_10,0.455,False,0.06831296597380164,False,0.29347826086956524,0.11853669947414103,0.171875,64,True
batch_11,0.42,False,0.06999625446815771,False,0.25555555555555554,0.12233790718945026,0.12307692307692308,65,True
batch_12,0.425,False,0.24352506771234494,False,0.24509803921568626,0.1150134485599805,0.1111111111111111,72,True
batch_13,0.42,False,0.07702390400049108,False,0.2112676056338028,0.11067233697951519,0.0784313725490196,51,True
batch_14,0.45,False,0.20868989135659308,False,0.20238095238095238,0.10871312264725437,0.1746031746031746,63,True
